model,cv_amex_M,cv_roc_auc,cv_pr_auc,rank_by_amex_M,rank_by_roc_auc,rank_by_pr_auc
regularized_lr,0.7600119076717187,0.9521949478074223,0.8781746156465986,1,1,1
histgb,0.7469304443436872,0.9504695045528018,0.8728348868889237,2,3,3
xgboost,0.7437361797760413,0.9500514271020963,0.8711051946509942,3,4,4
lightgbm,0.740452058756923,0.9504803234370507,0.8731240499973112,4,2,2
random_forest,0.7164378867379413,0.9443228964732031,0.8549057218234886,5,5,5
mlp,0.7148616710238453,0.9387990812191398,0.8467281892414831,6,6,6
linear_svm,0.5933972435694841,0.8829609322477705,0.7623889162629318,7,7,7
