model,cv_amex_M,cv_amex_M_std,train_amex_M,amex_gap_train_minus_cv,cv_roc_auc,cv_pr_auc,fit_seconds_mean,wall_seconds
regularized_lr,0.7600119076717187,0.0063738989845669725,0.7824977132313663,0.02248580555964763,0.9521949478074223,0.8781746156465986,13.090592980384827,26.412623167037964
histgb,0.7469304443436872,0.0003231752146592992,1.0,0.25306955565631284,0.9504695045528018,0.8728348868889237,3.2807698249816895,6.691383123397827
xgboost,0.7437361797760413,0.013141934527268584,0.966594832143985,0.22285865236794367,0.9500514271020963,0.8711051946509942,2.687090754508972,5.622200965881348
lightgbm,0.740452058756923,0.004283461619027262,0.9999993650453445,0.2595473062884215,0.9504803234370507,0.8731240499973112,3.3868669271469116,7.1086320877075195
random_forest,0.7164378867379413,0.011244049063386885,0.8233786900162119,0.1069408032782706,0.9443228964732031,0.8549057218234886,2.0829360485076904,4.452419757843018
mlp,0.7148616710238453,0.010091111077650483,0.9857351487492736,0.27087347772542825,0.9387990812191398,0.8467281892414831,0.5744836330413818,1.376007080078125
linear_svm,0.5933972435694841,0.012137501445681265,0.9944891543533969,0.4010919107839128,0.8829609322477705,0.7623889162629318,22.66225290298462,45.53757405281067
