candidate,cv_amex_M,cv_amex_M_std,cv_roc_auc,cv_pr_auc,fit_seconds_mean,subsample,reg_lambda,num_leaves,n_estimators,min_child_samples,learning_rate,colsample_bytree
2,0.751599022546642,0.006898339347453819,0.9523841261221404,0.8769717586841507,5.722901105880737,0.8,1.0,63,160,100,0.05,1.0
3,0.748486543171281,0.004002476107341557,0.9512802477430272,0.8733230860184735,2.748507022857666,0.8,10.0,31,120,100,0.08,0.8
5,0.7473820072418577,0.004713712111377499,0.9507944355484528,0.8728721304653251,2.91658091545105,1.0,0.0,31,120,200,0.08,0.8
1,0.7472632897758185,0.0026438721735109194,0.9505205002150597,0.8731879766307755,2.5545451641082764,1.0,0.0,31,80,200,0.05,1.0
4,0.7390633053044326,3.85119202641615e-05,0.9483916350364072,0.8688770629326834,1.7666319608688354,0.7,0.0,15,80,50,0.03,0.7
